Station,Line,Order of Points,Longitude,Latitude,Traffic,Color,Point Color
O'Donnell,Linea 6,16,"-3,668976287","40,42241912",5.222.459,#6a8389,#6a8389
Sainz de Baranda,Linea 6,17,"-3,669791679","40,4147404",9.768.952,#6a8389,#FFFFFF
Conde de Casal,Linea 6,18,"-3,669984798","40,40709413",6.661.469,#6a8389,#6a8389
Pacífico,Linea 6,19,"-3,674777864","40,40175113",18.460.266,#6a8389,#FFFFFF
Méndez Álvaro,Linea 6,20,"-3,678027259","40,39563943",8.974.299,#6a8389,#6a8389
Arganzuela-Planetario,Linea 6,21,"-3,688634252","40,39321525",1.556.334,#6a8389,#6a8389
Legazpi,Linea 6,22,"-3,695134549","40,39114152",18.313.451,#6a8389,#FFFFFF
Usera,Linea 6,23,"-3,706622287","40,38707515",7.515.213,#6a8389,#6a8389
Plaza Elíptica,Linea 6,24,"-3,718381091","40,38449275",16.365.931,#6a8389,#FFFFFF
Opañel,Linea 6,25,"-3,723445102","40,38622525",3.585.408,#6a8389,#6a8389
Oporto,Linea 6,26,"-3,731230185","40,3883975",15.822.483,#6a8389,#FFFFFF
Carpetana,Linea 6,27,"-3,740982794","40,3927153",5.569.768,#6a8389,#6a8389
Laguna,Linea 6,28,"-3,743863647","40,39908529",3.225.039,#6a8389,#6a8389
Pitis,Linea 7,1,"-3,725570035","40,495374",612.409,#ff9430,#ff9430
Arroyofresno,Linea 7,2,"-3,726020646","40,49083754",337.584,#ff9430,#ff9430
Lacoma,Linea 7,3,"-3,723059488","40,48483196",1.456.885,#ff9430,#ff9430
Avenida de la Ilustración,Linea 7,4,"-3,718274427","40,48004996",1.728.884,#ff9430,#ff9430
Peñagrande,Linea 7,5,"-3,71593554","40,47592052",3.028.773,#ff9430,#ff9430
Antonio Machado,Linea 7,6,"-3,718143025","40,46997891",1.899.514,#ff9430,#ff9430
Valdezarza,Linea 7,7,"-3,7159758","40,46460815",1.851.195,#ff9430,#ff9430
Francos Rodríguez,Linea 7,8,"-3,712156561","40,45652689",3.771.484,#ff9430,#ff9430
Guzmán el Bueno,Linea 7,9,"-3,711809138","40,44653227",8.465.631,#ff9430,#FFFFFF
Islas Filipinas,Linea 7,10,"-3,713787344","40,43902195",5.356.990,#ff9430,#ff9430
Canal,Linea 7,11,"-3,704337283","40,43821445",8.798.589,#ff9430,#FFFFFF
Alonso Cano,Linea 7,12,"-3,699303415","40,43843401",2.499.458,#ff9430,#ff9430
Gregorio Marañón,Linea 7,13,"-3,691192415","40,43807472",17.670.735,#ff9430,#FFFFFF
Avenida de América,Linea 7,14,"-3,676670475","40,43809255",35.284.265,#ff9430,#FFFFFF
Cartagena,Linea 7,15,"-3,672157484","40,43930812",1.949.194,#ff9430,#ff9430
Parque de las Avenidas,Linea 7,16,"-3,6629736","40,43947143",1.823.405,#ff9430,#ff9430
Barrio de la Concepción,Linea 7,17,"-3,651601034","40,43885084",3.038.122,#ff9430,#ff9430
Pueblo Nuevo,Linea 7,18,"-3,642845864","40,4356791",9.317.967,#ff9430,#FFFFFF
Ascao,Linea 7,19,"-3,641083238","40,43012943",3.182.987,#ff9430,#ff9430
García Noblejas,Linea 7,20,"-3,631834981","40,42908408",3.177.105,#ff9430,#ff9430
Simancas,Linea 7,21,"-3,625826833","40,42790804",3.109.979,#ff9430,#ff9430
San Blas,Linea 7,22,"-3,61569126","40,42792782",2.030.506,#ff9430,#ff9430
Las Musas,Linea 7,23,"-3,607704","40,43262315",1.699.016,#ff9430,#ff9430
Estadio Metropolitano,Linea 7,24,"-3,600086527","40,43335813",4.300.584,#ff9430,#ff9430
Barrio del Puerto,Linea 7,25,"-3,56906157","40,42249924",1.078.259,#ff9430,#ff9430
Coslada Central,Linea 7,26,"-3,560886197","40,4235937",2.785.882,#ff9430,#ff9430
La Rambla,Linea 7,27,"-3,547882847","40,42509651",1.801.886,#ff9430,#ff9430
San Fernando,Linea 7,28,"-3,535373024","40,42441045",948.995,#ff9430,#ff9430
Jarama,Linea 7,29,"-3,525352291","40,42287495",463.992,#ff9430,#ff9430
Henares,Linea 7,30,"-3,527147934","40,41769906",462.358,#ff9430,#ff9430
Hospital del Henares,Linea 7,31,"-3,534513336","40,41759691",227.228,#ff9430,#ff9430
Aeropuerto T4,Linea 8,1,"-3,593199646","40,49139493",1.729.986,#e474b7,#e474b7
Barajas,Linea 8,2,"-3,582599556","40,47582515",2.592.191,#e474b7,#e474b7
Aeropuerto T1-T2-T3,Linea 8,3,"-3,571117753","40,46828401",1.498.629,#e474b7,#e474b7
Feria de Madrid,Linea 8,4,"-3,616340986","40,46398373",1.908.480,#e474b7,#e474b7
Mar de Cristal,Linea 8,5,"-3,638170848","40,4693649",6.172.476,#e474b7,#FFFFFF
Pinar del Rey,Linea 8,6,"-3,648056929","40,46810839",2.153.834,#e474b7,#e474b7
Colombia,Linea 8,7,"-3,676944063","40,45730084",8.798.480,#e474b7,#FFFFFF
Nuevos Ministerios,Linea 8,8,"-3,691982249","40,44664658",29.885.885,#e474b7,#FFFFFF
Paco de Lucía,Linea 9,1,"-3,709227739","40,4996054",1.342.729,#96349b,#96349b
Mirasierra,Linea 9,2,"-3,716298041","40,49094886",1.365.009,#96349b,#96349b
